,fall,geolocation,id,mass,name,nametype,recclass,reclat,reclong,year
936,Fell,"{'latitude': '47.36667', 'longitude': '1.73333'}",23663,54,Sologne,Valid,H5,47.366670,1.733330,1860-01-01T00:00:00.000
937,Fell,"{'latitude': '54.00883', 'longitude': '22.005'}",53829,1066,Sołtmany,Valid,L6,54.008830,22.005000,2011-01-01T00:00:00.000
938,Fell,"{'latitude': '35.16667', 'longitude': '135.33333'}",23667,17100,Sone,Valid,H5,35.166670,135.333330,1866-01-01T00:00:00.000
939,Fell,"{'latitude': '45.25', 'longitude': '125.0'}",23668,36900,Songyuan,Valid,L6,45.250000,125.000000,1993-01-01T00:00:00.000
940,Fell,"{'latitude': '44.41667', 'longitude': '23.5'}",23670,958,Sopot,Valid,OC,44.416670,23.500000,1927-01-01T00:00:00.000
941,Fell,"{'latitude': '1.7', 'longitude': '33.63333'}",23671,2050,Soroti,Valid,"Iron, ungrouped",1.700000,33.633330,1945-01-01T00:00:00.000
942,Fell,"{'latitude': '44.75', 'longitude': '0.05'}",23081,360,St. Caprais-de-Quinsac,Valid,L6,44.750000,0.050000,1883-01-01T00:00:00.000
943,Fell,"{'latitude': '46.95', 'longitude': '-1.5'}",23082,5500,St. Christophe-la-Chartreuse,Valid,L6,46.950000,-1.500000,1841-01-01T00:00:00.000
944,Fell,"{'latitude': '51.05', 'longitude': '3.75'}",23083,700,St. Denis Westrem,Valid,L6,51.050000,3.750000,1855-01-01T00:00:00.000
945,Fell,"{'latitude': '48.01667', 'longitude': '-1.15'}",23087,4000,St. Germain-du-Pinel,Valid,H6,48.016670,-1.150000,1890-01-01T00:00:00.000
946,Fell,"{'latitude': '38.7', 'longitude': '-90.23333'}",23089,1000,St. Louis,Valid,H4,38.700000,-90.233330,1950-01-01T00:00:00.000
947,Fell,"{'latitude': '-32.01667', 'longitude': '27.41667'}",23090,13780,St. Mark's,Valid,EH5,-32.016670,27.416670,1903-01-01T00:00:00.000
